Date,Dividends
2001-04-27 10:00:00+03:00,0.173776
2002-04-26 10:00:00+03:00,0.176935
2003-04-11 10:00:00+03:00,0.309637
2004-04-02 10:00:00+03:00,0.442338
2005-04-01 10:00:00+03:00,0.375987
2006-04-05 10:00:00+03:00,0.379147
2007-03-30 10:00:00+03:00,0.388626
2008-04-11 10:00:00+03:00,0.398104
2009-04-01 10:00:00+03:00,0.398104
2010-04-08 10:00:00+03:00,0.398104
2011-04-06 10:00:00+03:00,0.42
2012-04-04 10:00:00+03:00,0.42
2013-04-11 10:00:00+03:00,0.42
2014-04-04 10:00:00+03:00,0.21
2015-04-10 10:00:00+03:00,0.4
2016-04-08 10:00:00+03:00,0.41
2017-04-06 10:00:00+03:00,0.21
2017-10-27 10:00:00+03:00,0.21
2018-04-11 10:00:00+03:00,0.21
2018-10-26 10:00:00+03:00,0.22
2019-04-10 10:00:00+03:00,0.22
2019-10-30 10:00:00+02:00,0.22
2020-05-05 10:00:00+03:00,0.11
2020-10-02 10:00:00+03:00,0.11
2021-04-09 10:00:00+03:00,0.18
2021-10-28 10:00:00+03:00,0.17
2022-04-07 10:00:00+03:00,0.23
2022-11-03 10:00:00+02:00,0.22
2023-04-05 10:00:00+03:00,0.23
2023-11-02 10:00:00+02:00,0.23
2024-04-15 10:00:00+03:00,0.24
2025-04-28 10:00:00+03:00,0.09
2025-10-29 10:00:00+02:00,0.1
2026-04-20 10:00:00+03:00,0.25
