Date,Dividends
2000-04-13 10:00:00+03:00,0.065
2001-04-05 10:00:00+03:00,0.05
2004-03-15 10:00:00+02:00,0.05
2005-03-18 10:00:00+02:00,0.06
2006-03-16 10:00:00+02:00,0.07
2007-03-15 10:00:00+02:00,0.11
2008-03-17 10:00:00+02:00,0.02
2010-08-24 10:00:00+03:00,0.2
2013-04-12 10:00:00+03:00,0.01
2013-12-05 10:00:00+02:00,0.11
2014-04-11 10:00:00+03:00,0.02
2015-04-16 10:00:00+03:00,0.04
2016-04-20 10:00:00+03:00,0.3
2017-04-13 10:00:00+03:00,0.3
2018-04-12 10:00:00+03:00,0.3
2019-04-11 10:00:00+03:00,0.15
2021-04-15 10:00:00+03:00,0.0311
2022-04-07 10:00:00+03:00,0.04
2023-04-13 10:00:00+03:00,0.05
2024-04-11 10:00:00+03:00,0.03
2024-10-21 10:00:00+03:00,0.03
2025-05-08 10:00:00+03:00,0.1
2026-04-23 10:00:00+03:00,0.15
