Date,Dividends
2000-03-22 10:00:00+02:00,2.9
2002-03-27 10:00:00+02:00,0.3
2003-03-27 10:00:00+02:00,0.25
2004-03-26 10:00:00+02:00,0.34
2005-03-16 10:00:00+02:00,0.05
2006-03-24 10:00:00+02:00,0.06
2007-05-25 10:00:00+03:00,0.09
2007-11-09 10:00:00+02:00,0.15
2008-03-28 10:00:00+02:00,0.18
2009-03-20 10:00:00+02:00,0.1
2010-05-11 10:00:00+03:00,0.1
2011-04-06 10:00:00+03:00,0.3
2012-04-13 10:00:00+03:00,0.3
2013-03-22 10:00:00+02:00,0.2
2014-03-28 10:00:00+02:00,0.2
2015-03-27 10:00:00+02:00,0.25
2016-04-08 10:00:00+03:00,0.3
2017-04-07 10:00:00+03:00,0.31
2019-04-12 10:00:00+03:00,0.33
2021-04-16 10:00:00+03:00,0.2
2021-10-28 10:00:00+03:00,0.2
2022-04-20 10:00:00+03:00,0.21
2022-11-08 10:00:00+02:00,0.21
2023-04-20 10:00:00+03:00,0.22
2023-11-08 10:00:00+02:00,0.22
