Date,Dividends
2002-04-04 10:00:00+03:00,0.26
2003-04-10 10:00:00+03:00,0.1
2004-04-02 10:00:00+03:00,0.05
2005-04-01 10:00:00+03:00,0.06
2006-03-23 10:00:00+02:00,0.07
2007-03-30 10:00:00+03:00,0.12
2008-03-28 10:00:00+02:00,0.16
2010-03-31 10:00:00+03:00,0.04
2011-03-31 10:00:00+03:00,0.12
2012-03-15 10:00:00+02:00,0.07
2014-03-20 10:00:00+02:00,0.04
2015-03-19 10:00:00+02:00,0.06
2016-03-17 10:00:00+02:00,0.07
2017-03-16 10:00:00+02:00,0.09
2018-03-15 10:00:00+02:00,0.11
2019-03-14 10:00:00+02:00,0.06
2019-03-26 10:00:00+02:00,0.06
2020-03-12 10:00:00+02:00,0.13
2021-03-18 10:00:00+02:00,0.07
2021-09-17 10:00:00+03:00,0.07
2022-03-17 10:00:00+02:00,0.08
2022-09-15 10:00:00+03:00,0.07
2023-03-16 10:00:00+02:00,0.09
2023-09-14 10:00:00+03:00,0.08
2024-03-28 10:00:00+02:00,0.06
2024-09-19 10:00:00+03:00,0.04
2025-03-26 10:00:00+02:00,0.07
2025-09-16 10:00:00+03:00,0.07
2026-03-26 10:00:00+02:00,0.06
2026-09-09 10:00:00+03:00,0.06
