Date,Dividends
2002-05-08 10:00:00+03:00,0.12
2003-05-12 10:00:00+03:00,0.25
2004-05-13 10:00:00+03:00,0.3
2006-05-12 10:00:00+03:00,0.12
2007-04-20 10:00:00+03:00,0.17
2008-04-18 10:00:00+03:00,0.18
2009-04-22 10:00:00+03:00,0.1
2010-04-22 10:00:00+03:00,0.14
2011-04-28 10:00:00+03:00,0.17
2012-04-27 10:00:00+03:00,0.22
2013-04-26 10:00:00+03:00,0.25
2014-04-25 10:00:00+03:00,0.26
2015-04-24 10:00:00+03:00,0.28
2016-04-22 10:00:00+03:00,0.3
2017-04-21 10:00:00+03:00,0.31
2019-04-26 10:00:00+03:00,0.33
2020-04-24 10:00:00+03:00,0.23
2021-04-28 10:00:00+03:00,0.28
2022-04-22 10:00:00+03:00,0.29
2023-04-21 10:00:00+03:00,0.15
2024-04-24 10:00:00+03:00,0.05
