Date,Dividends
2000-04-11 10:00:00+03:00,1.2
2001-04-23 10:00:00+03:00,0.07
2005-03-15 10:00:00+02:00,0.4
2005-12-07 10:00:00+02:00,0.4
2006-03-28 10:00:00+03:00,0.7
2007-03-20 10:00:00+02:00,0.5
2007-10-16 10:00:00+03:00,1.0
2008-03-19 10:00:00+02:00,2.6
2009-03-19 10:00:00+02:00,0.6
2009-10-26 10:00:00+02:00,0.4
2010-03-19 10:00:00+02:00,0.68
2010-10-25 10:00:00+03:00,0.5
2011-03-28 10:00:00+03:00,0.9
2011-10-24 10:00:00+03:00,0.4
2012-04-05 10:00:00+03:00,1.3
2013-03-26 10:00:00+02:00,1.3
2014-04-03 10:00:00+03:00,1.3
2015-03-27 10:00:00+02:00,1.32
2016-04-01 10:00:00+03:00,1.4
2017-04-07 10:00:00+03:00,1.5
2018-04-13 10:00:00+03:00,1.65
2019-04-04 10:00:00+03:00,1.75
2020-04-03 10:00:00+03:00,1.85
2021-04-09 10:00:00+03:00,1.95
2022-04-07 10:00:00+03:00,2.05
2023-04-06 10:00:00+03:00,2.15
2024-04-15 10:00:00+03:00,1.13
2024-10-22 10:00:00+03:00,1.12
2025-04-03 10:00:00+03:00,1.18
2025-10-16 10:00:00+03:00,1.17
2026-04-02 10:00:00+03:00,0.6
2026-07-17 10:00:00+03:00,0.6
