Date,Dividends
2005-03-16 10:00:00+02:00,0.1
2006-03-15 10:00:00+02:00,0.15
2007-03-29 10:00:00+03:00,0.3
2008-03-14 10:00:00+02:00,0.37
2012-03-14 10:00:00+02:00,0.12
2013-03-27 10:00:00+02:00,0.12
2014-03-28 10:00:00+02:00,0.15
2015-03-26 10:00:00+02:00,0.5
2016-03-31 10:00:00+03:00,0.3
2017-03-30 10:00:00+03:00,0.35
2018-03-29 10:00:00+03:00,0.07
2019-03-26 10:00:00+02:00,0.54
2020-03-26 10:00:00+02:00,0.62
2021-03-25 10:00:00+02:00,0.7
2022-03-24 10:00:00+02:00,1.0
2023-03-28 10:00:00+03:00,1.0
2024-03-22 10:00:00+02:00,0.4
2024-09-24 10:00:00+03:00,0.4
2025-03-26 10:00:00+02:00,0.33
2025-10-06 10:00:00+03:00,0.33
2026-03-25 10:00:00+02:00,0.26
