Date,Dividends
2000-04-18 10:00:00+03:00,0.18
2001-04-05 10:00:00+03:00,0.23
2002-03-27 10:00:00+02:00,0.26
2003-03-28 10:00:00+02:00,0.31
2004-03-26 10:00:00+02:00,0.42
2005-04-01 10:00:00+03:00,0.58
2006-03-17 10:00:00+02:00,1.12
2007-03-29 10:00:00+03:00,1.26
2008-04-02 10:00:00+03:00,1.16
2009-04-08 10:00:00+03:00,1.0
2010-03-26 10:00:00+02:00,1.0
2011-04-01 10:00:00+03:00,1.0
2012-04-12 10:00:00+03:00,1.0
2013-04-10 10:00:00+03:00,1.0
2014-04-09 10:00:00+03:00,1.1
2015-04-01 10:00:00+03:00,1.3
2016-04-06 10:00:00+03:00,1.1
2017-04-05 10:00:00+03:00,1.1
2018-03-29 10:00:00+03:00,1.1
2019-03-27 10:00:00+02:00,1.1
2020-04-24 10:00:00+03:00,1.1
2021-04-29 10:00:00+03:00,1.12
2022-03-29 10:00:00+03:00,1.14
2023-04-14 10:00:00+03:00,0.46
2023-09-29 10:00:00+03:00,0.45
2024-03-26 10:00:00+02:00,0.58
2024-10-01 10:00:00+03:00,0.57
2025-04-02 10:00:00+03:00,1.4
2026-04-01 10:00:00+03:00,0.74
