Date,Dividends
2000-03-17 10:00:00+02:00,0.221429
2002-03-15 10:00:00+02:00,0.221429
2003-03-14 10:00:00+02:00,0.5
2003-12-10 10:00:00+02:00,0.285714
2004-03-17 10:00:00+02:00,0.221429
2004-12-07 10:00:00+02:00,0.714286
2005-03-24 10:00:00+02:00,0.3
2006-03-21 10:00:00+02:00,0.45
2006-12-13 10:00:00+02:00,0.3
2007-03-22 10:00:00+02:00,0.6
2008-03-26 10:00:00+02:00,0.8
2009-03-17 10:00:00+02:00,0.5
2010-03-17 10:00:00+02:00,0.52
2011-03-17 10:00:00+02:00,1.9
2012-03-16 10:00:00+02:00,0.62
2012-09-13 10:00:00+03:00,0.75
2013-03-15 10:00:00+02:00,0.65
2014-03-13 10:00:00+02:00,0.67
2014-12-10 10:00:00+02:00,2.6
2015-03-13 10:00:00+02:00,0.68
2016-03-10 10:00:00+02:00,0.7
2017-03-10 10:00:00+02:00,0.71
2017-09-08 10:00:00+03:00,0.35
2018-03-15 10:00:00+02:00,0.36
2018-09-10 10:00:00+03:00,0.36
2019-03-14 10:00:00+02:00,0.27
2019-09-06 10:00:00+03:00,0.27
2020-03-12 10:00:00+02:00,0.28
2020-09-09 10:00:00+03:00,0.28
2021-03-12 10:00:00+02:00,0.3
2021-09-10 10:00:00+03:00,0.3
2022-03-17 10:00:00+02:00,0.38
2022-09-08 10:00:00+03:00,0.38
2023-03-16 10:00:00+02:00,0.4
2023-09-11 10:00:00+03:00,0.4
2024-03-14 10:00:00+02:00,0.41
2024-09-13 10:00:00+03:00,0.41
2025-03-13 10:00:00+02:00,0.42
2025-09-10 10:00:00+03:00,0.42
2026-03-12 10:00:00+02:00,0.21
2026-06-03 10:00:00+03:00,0.21
2026-09-10 10:00:00+03:00,0.21
