Date,Dividends
2006-03-01 10:00:00+02:00,0.65
2007-02-27 10:00:00+02:00,1.0
2008-03-03 10:00:00+02:00,1.05
2009-03-06 10:00:00+02:00,0.6
2010-03-08 10:00:00+02:00,0.4
2011-03-09 10:00:00+02:00,0.61
2012-03-20 10:00:00+02:00,1.0
2013-03-21 10:00:00+02:00,0.72
2014-03-19 10:00:00+02:00,0.42
2015-03-19 10:00:00+02:00,0.55
2016-03-23 10:00:00+02:00,0.8
2017-03-22 10:00:00+02:00,0.95
2018-03-21 10:00:00+02:00,0.53
2018-09-19 10:00:00+03:00,0.52
2019-03-20 10:00:00+02:00,0.55
2019-10-02 10:00:00+03:00,0.55
2020-05-28 10:00:00+03:00,0.6
2020-08-26 10:00:00+03:00,0.6
2021-03-24 10:00:00+02:00,1.08
2022-03-18 10:00:00+02:00,1.08
2023-03-24 10:00:00+02:00,1.35
2024-05-31 10:00:00+03:00,2.15
2025-03-27 10:00:00+02:00,1.2
2025-10-01 10:00:00+03:00,1.57
2026-03-25 10:00:00+02:00,1.17
