Date,Dividends
2002-04-16 10:00:00+03:00,0.17
2003-04-10 10:00:00+03:00,0.27
2004-04-23 10:00:00+03:00,0.28
2005-04-13 10:00:00+03:00,0.29
2006-04-24 10:00:00+03:00,0.27
2007-04-23 10:00:00+03:00,0.27
2008-04-23 10:00:00+03:00,0.27
2009-04-24 10:00:00+03:00,0.24
2010-04-26 10:00:00+03:00,0.22
2011-04-28 10:00:00+03:00,0.22
2012-04-26 10:00:00+03:00,0.17
2013-04-25 10:00:00+03:00,0.1
2014-04-11 10:00:00+03:00,0.1
2015-04-15 10:00:00+03:00,0.49
2016-04-14 10:00:00+03:00,0.14
2017-04-07 10:00:00+03:00,0.16
2018-04-13 10:00:00+03:00,0.09
2021-04-09 10:00:00+03:00,0.03
2022-03-31 10:00:00+03:00,0.04
2025-04-24 10:00:00+03:00,0.09
2025-12-18 10:00:00+02:00,0.05
2026-04-23 10:00:00+03:00,0.08
