Date,Dividends
2000-04-13 10:00:00+03:00,0.2625
2001-04-04 10:00:00+03:00,0.275
2002-03-26 10:00:00+02:00,0.3125
2003-03-31 10:00:00+03:00,0.38
2004-03-23 10:00:00+02:00,0.38
2005-03-31 10:00:00+03:00,0.38
2006-03-28 10:00:00+03:00,0.38
2007-04-13 10:00:00+03:00,0.42
2008-04-01 10:00:00+03:00,0.42
2009-04-06 10:00:00+03:00,0.34
2010-03-25 10:00:00+02:00,0.38
2011-04-21 10:00:00+03:00,0.44
2012-04-25 10:00:00+03:00,0.46
2013-04-26 10:00:00+03:00,0.56
2014-04-25 10:00:00+03:00,0.57
2015-04-22 10:00:00+03:00,0.6
2016-04-22 10:00:00+03:00,0.66
2017-04-28 10:00:00+03:00,0.73
2018-04-26 10:00:00+03:00,0.8
2019-04-26 10:00:00+03:00,0.84
2020-09-17 10:00:00+03:00,0.89
2021-04-23 10:00:00+03:00,0.46
2021-09-30 10:00:00+03:00,0.46
2022-04-28 10:00:00+03:00,0.47
2022-09-30 10:00:00+03:00,0.47
2023-04-28 10:00:00+03:00,0.5
2023-09-29 10:00:00+03:00,0.5
2024-04-26 10:00:00+03:00,0.53
2024-09-30 10:00:00+03:00,0.52
2025-04-25 10:00:00+03:00,0.55
2025-09-30 10:00:00+03:00,0.55
2026-04-30 10:00:00+03:00,0.57
