Date,Dividends
2002-03-08 10:00:00+02:00,0.05
2003-03-10 10:00:00+02:00,0.05
2004-03-08 10:00:00+02:00,0.05
2005-03-07 10:00:00+02:00,0.2
2006-03-06 10:00:00+02:00,0.15
2007-03-12 10:00:00+02:00,0.15
2008-03-11 10:00:00+02:00,0.15
2009-03-11 10:00:00+02:00,0.15
2010-03-09 10:00:00+02:00,0.1
2011-03-16 10:00:00+02:00,0.1
2012-03-19 10:00:00+02:00,0.1
2013-03-18 10:00:00+02:00,0.1
2014-03-17 10:00:00+02:00,0.1
2015-03-24 10:00:00+02:00,0.1
2016-04-12 10:00:00+03:00,0.17
2017-04-21 10:00:00+03:00,0.19
2019-04-12 10:00:00+03:00,0.23
2020-12-02 10:00:00+02:00,0.02
2021-04-27 10:00:00+03:00,0.14
2021-11-12 10:00:00+02:00,0.13
2022-01-25 10:00:00+02:00,1.0
2022-04-28 10:00:00+03:00,0.15
2022-08-19 10:00:00+03:00,0.14
2023-04-28 10:00:00+03:00,0.16
2023-06-14 10:00:00+03:00,0.15
2024-04-19 10:00:00+03:00,0.33
2025-04-11 10:00:00+03:00,0.18
2025-06-06 10:00:00+03:00,0.17
2025-09-15 10:00:00+03:00,3.14
2026-04-15 10:00:00+03:00,0.25
2026-08-18 10:00:00+03:00,0.12
