Date,Dividends
2000-04-11 10:00:00+03:00,0.375
2001-04-10 10:00:00+03:00,0.25
2002-04-23 10:00:00+03:00,0.15
2003-04-01 10:00:00+03:00,0.25
2004-03-30 10:00:00+03:00,0.5
2004-11-10 10:00:00+02:00,0.25
2005-03-31 10:00:00+03:00,0.25
2006-03-28 10:00:00+03:00,0.275
2007-03-27 10:00:00+03:00,0.375
2008-04-01 10:00:00+03:00,0.4
2009-03-31 10:00:00+03:00,0.25
2010-03-30 10:00:00+03:00,0.225
2011-04-05 10:00:00+03:00,0.325
2012-04-17 10:00:00+03:00,0.3
2013-04-09 10:00:00+03:00,0.3
2014-04-08 10:00:00+03:00,0.35
2015-04-14 10:00:00+03:00,0.375
2016-04-05 10:00:00+03:00,0.625
2017-04-04 10:00:00+03:00,0.5
2018-04-12 10:00:00+03:00,0.55
2019-04-09 10:00:00+03:00,0.2925
2019-10-09 10:00:00+03:00,0.2925
2020-04-29 10:00:00+03:00,0.32
2020-09-30 10:00:00+03:00,0.31
2021-04-13 10:00:00+03:00,0.38
2021-09-30 10:00:00+03:00,0.37
2022-04-08 10:00:00+03:00,0.27
2022-06-21 10:00:00+03:00,0.26
2022-09-12 10:00:00+03:00,0.27
2022-12-12 10:00:00+02:00,0.26
2023-03-31 10:00:00+03:00,0.27
2023-06-20 10:00:00+03:00,0.27
2023-09-11 10:00:00+03:00,0.27
2023-12-11 10:00:00+02:00,0.27
2024-03-27 10:00:00+02:00,0.26
2024-07-15 10:00:00+03:00,0.25
2024-10-14 10:00:00+03:00,0.26
2025-01-13 10:00:00+02:00,0.25
2025-03-25 10:00:00+02:00,0.23
2025-07-14 10:00:00+03:00,0.22
2025-10-13 10:00:00+03:00,0.23
2026-01-12 10:00:00+02:00,0.22
2026-03-27 10:00:00+02:00,0.23
2026-07-15 10:00:00+03:00,0.22
