Date,Dividends
2002-03-18 10:00:00+02:00,0.1
2003-03-28 10:00:00+02:00,0.09
2004-03-26 10:00:00+02:00,0.11
2005-04-08 10:00:00+03:00,0.1
2005-12-14 10:00:00+02:00,0.08
2006-03-31 10:00:00+03:00,0.1
2007-04-13 10:00:00+03:00,0.1
2008-04-04 10:00:00+03:00,0.12
2009-03-27 10:00:00+02:00,0.12
2010-04-09 10:00:00+03:00,0.12
2011-04-14 10:00:00+03:00,0.12
2012-04-20 10:00:00+03:00,0.06
2013-09-18 10:00:00+03:00,0.06
2014-04-09 10:00:00+03:00,0.05
2014-11-06 10:00:00+02:00,0.3
2015-04-15 10:00:00+03:00,0.2
2016-10-03 10:00:00+03:00,0.45
2019-04-11 10:00:00+03:00,0.03
2020-01-30 10:00:00+02:00,0.15
2020-04-30 10:00:00+03:00,0.04
2021-04-30 10:00:00+03:00,0.04
