Date,Dividends
2006-02-28 10:00:00+02:00,0.25
2007-02-27 10:00:00+02:00,0.25
2008-02-26 10:00:00+02:00,0.325
2009-02-24 10:00:00+02:00,0.325
2010-03-02 10:00:00+02:00,0.325
2011-03-01 10:00:00+02:00,0.45
2012-03-06 10:00:00+02:00,0.7
2012-10-25 10:00:00+03:00,0.75
2013-02-26 10:00:00+02:00,0.875
2013-12-03 10:00:00+02:00,0.65
2014-02-25 10:00:00+02:00,1.0
2015-02-24 10:00:00+02:00,1.2
2016-03-08 10:00:00+02:00,1.4
2017-03-01 10:00:00+02:00,1.55
2018-02-27 10:00:00+02:00,1.65
2019-02-27 10:00:00+02:00,1.65
2020-02-26 10:00:00+02:00,1.7
2021-03-03 10:00:00+02:00,2.25
2022-03-02 10:00:00+02:00,2.1
2023-03-01 10:00:00+02:00,1.75
2024-03-01 10:00:00+02:00,1.75
2025-03-06 10:00:00+02:00,1.8
2026-03-06 10:00:00+02:00,1.8
