Date,Dividends
2002-04-10 10:00:00+03:00,0.3
2003-04-02 10:00:00+03:00,0.375
2004-03-19 10:00:00+02:00,0.6
2004-11-16 10:00:00+02:00,0.5
2005-04-05 10:00:00+03:00,0.25
2006-03-24 10:00:00+02:00,0.4
2007-03-27 10:00:00+03:00,0.55
2008-04-02 10:00:00+03:00,0.55
2009-03-25 10:00:00+02:00,0.55
2010-04-01 10:00:00+03:00,0.55
2011-03-18 10:00:00+02:00,0.55
2012-03-16 10:00:00+02:00,0.55
2013-03-13 10:00:00+02:00,0.6
2013-11-19 10:00:00+02:00,0.85
2014-03-20 10:00:00+02:00,0.5
2015-03-19 10:00:00+02:00,0.75
2016-03-18 10:00:00+02:00,0.85
2017-03-17 10:00:00+02:00,0.92
2018-03-16 10:00:00+02:00,0.92
2019-03-15 10:00:00+02:00,0.92
2020-03-13 10:00:00+02:00,0.92
2021-03-19 10:00:00+02:00,0.4
2022-03-18 10:00:00+02:00,0.46
2023-03-24 10:00:00+02:00,0.47
2024-03-22 10:00:00+02:00,0.49
2025-03-28 10:00:00+02:00,0.5
2026-04-30 10:00:00+03:00,0.07
