Date,Dividends
2002-03-20 10:00:00+02:00,0.6
2003-03-19 10:00:00+02:00,0.125
2004-03-17 10:00:00+02:00,0.125
2005-03-17 10:00:00+02:00,0.15
2006-03-22 10:00:00+02:00,0.15
2007-03-21 10:00:00+02:00,0.25
2008-04-02 10:00:00+03:00,0.5
2009-03-18 10:00:00+02:00,0.6
2010-03-17 10:00:00+02:00,0.45
2011-03-16 10:00:00+02:00,0.45
2012-03-15 10:00:00+02:00,0.45
2013-03-15 10:00:00+02:00,0.2
2015-03-11 10:00:00+02:00,0.1
2016-03-09 10:00:00+02:00,0.25
2017-03-15 10:00:00+02:00,0.37
2018-03-14 10:00:00+02:00,0.32
2019-03-15 10:00:00+02:00,0.1
2023-03-30 10:00:00+03:00,0.1
