Date,Dividends
2002-03-13 10:00:00+02:00,0.043333
2003-04-02 10:00:00+03:00,0.056667
2004-03-17 10:00:00+02:00,0.1
2004-12-09 10:00:00+02:00,0.1
2005-04-08 10:00:00+03:00,0.1
2006-04-07 10:00:00+03:00,0.13
2007-04-13 10:00:00+03:00,0.13
2008-04-04 10:00:00+03:00,0.13
2009-04-09 10:00:00+03:00,0.11
2010-04-16 10:00:00+03:00,0.09
2011-04-20 10:00:00+03:00,0.11
2012-04-18 10:00:00+03:00,0.11
2013-04-24 10:00:00+03:00,0.05
2014-04-24 10:00:00+03:00,0.05
2015-04-10 10:00:00+03:00,0.07
2016-04-08 10:00:00+03:00,0.07
2017-04-07 10:00:00+03:00,0.08
2018-04-13 10:00:00+03:00,0.1
2019-04-18 10:00:00+03:00,0.37
2021-02-19 10:00:00+02:00,0.18
2022-02-16 10:00:00+02:00,0.2
2022-04-13 10:00:00+03:00,0.72
2023-04-14 10:00:00+03:00,0.34
2024-04-17 10:00:00+03:00,0.37
2025-04-16 10:00:00+03:00,0.65
2026-04-17 10:00:00+03:00,0.42
