Date,Dividends
2001-04-11 10:00:00+03:00,0.22
2002-04-25 10:00:00+03:00,0.23
2003-04-25 10:00:00+03:00,0.23
2004-04-01 10:00:00+03:00,0.25
2005-04-11 10:00:00+03:00,0.28
2006-04-06 10:00:00+03:00,0.35
2007-04-16 10:00:00+03:00,0.49
2008-04-04 10:00:00+03:00,0.5
2009-04-03 10:00:00+03:00,0.2
2010-03-26 10:00:00+02:00,0.25
2011-03-25 10:00:00+02:00,0.29
2012-03-23 10:00:00+02:00,0.26
2013-03-15 10:00:00+02:00,0.34
2014-03-21 10:00:00+02:00,0.43
2015-03-20 10:00:00+02:00,0.62
2016-03-18 10:00:00+02:00,0.64
2017-03-17 10:00:00+02:00,0.65
2018-03-16 10:00:00+02:00,0.68
2019-03-29 10:00:00+02:00,0.69
2021-02-19 10:00:00+02:00,0.07
2021-10-04 10:00:00+03:00,0.72
2022-03-25 10:00:00+02:00,0.69
2023-03-24 10:00:00+02:00,0.8
2024-03-22 10:00:00+02:00,0.92
2025-03-21 10:00:00+02:00,0.94
2026-03-25 10:00:00+02:00,0.96
2026-08-05 10:00:00+03:00,0.34
