Date,Dividends
2014-04-24 10:00:00+03:00,0.09
2015-04-23 10:00:00+03:00,0.22
2016-04-28 10:00:00+03:00,0.27
2017-04-27 10:00:00+03:00,0.3
2018-04-26 10:00:00+03:00,0.33
2019-04-25 10:00:00+03:00,0.34
2023-05-10 10:00:00+03:00,0.2
2023-10-12 10:00:00+03:00,0.2
2024-05-07 10:00:00+03:00,0.14
2024-08-07 10:00:00+03:00,0.14
2024-11-06 10:00:00+02:00,0.15
2025-05-07 10:00:00+03:00,0.15
2025-08-06 10:00:00+03:00,0.15
2025-11-05 10:00:00+02:00,0.16
2026-05-07 10:00:00+03:00,0.07
2026-08-11 10:00:00+03:00,0.08
