Date,Dividends
2000-03-23 10:00:00+02:00,0.8
2001-03-22 10:00:00+02:00,0.28
2002-03-22 10:00:00+02:00,0.27
2003-03-28 10:00:00+02:00,0.28
2004-03-26 10:00:00+02:00,0.3
2005-04-08 10:00:00+03:00,0.33
2006-03-31 10:00:00+03:00,0.37
2007-05-04 10:00:00+03:00,0.43
2008-05-09 10:00:00+03:00,0.53
2009-04-24 10:00:00+03:00,0.4
2010-05-07 10:00:00+03:00,0.4
2011-05-04 10:00:00+03:00,0.4
2012-05-04 10:00:00+03:00,0.2
2014-06-18 10:00:00+03:00,0.37
2015-05-06 10:00:00+03:00,0.14
2016-06-17 10:00:00+03:00,0.26
2017-05-24 10:00:00+03:00,0.014994001
2018-05-31 10:00:00+03:00,0.19
2019-05-22 10:00:00+03:00,0.05
2019-07-29 10:00:00+03:00,0.05
2022-05-02 10:00:00+03:00,0.02
2022-07-25 10:00:00+03:00,0.02
2022-10-24 10:00:00+03:00,0.02
2023-01-30 10:00:00+02:00,0.02
2023-04-24 10:00:00+03:00,0.03
2023-07-24 10:00:00+03:00,0.03
2023-10-23 10:00:00+03:00,0.03
2024-01-29 10:00:00+02:00,0.03
2024-04-22 10:00:00+03:00,0.04
2024-07-22 10:00:00+03:00,0.03
2024-10-21 10:00:00+03:00,0.03
2025-02-03 10:00:00+02:00,0.03
2025-05-02 10:00:00+03:00,0.04
2025-07-28 10:00:00+03:00,0.04
2025-10-27 10:00:00+02:00,0.03
2026-02-02 10:00:00+02:00,0.03
2026-04-27 10:00:00+03:00,0.04
2026-07-27 10:00:00+03:00,0.04
