Date,Dividends
2007-03-14 10:00:00+02:00,0.06
2008-03-18 10:00:00+02:00,0.08
2009-04-17 10:00:00+03:00,0.08
2010-04-08 10:00:00+03:00,0.12
2011-04-07 10:00:00+03:00,0.08
2012-03-27 10:00:00+03:00,0.08
2013-03-21 10:00:00+02:00,0.09
2016-03-15 10:00:00+02:00,0.13
2017-03-15 10:00:00+02:00,0.14
2018-03-20 10:00:00+02:00,0.09
2019-03-20 10:00:00+02:00,0.09
2020-03-18 10:00:00+02:00,0.09
2021-03-17 10:00:00+02:00,0.03
2022-03-16 10:00:00+02:00,0.04
2023-03-22 10:00:00+02:00,0.06
2024-03-20 10:00:00+02:00,0.07
2025-04-03 10:00:00+03:00,0.07
2026-03-26 10:00:00+02:00,0.03
