Date,Dividends
2007-04-03 10:00:00+03:00,1.0
2008-03-26 10:00:00+02:00,1.0
2009-03-24 10:00:00+02:00,0.95
2010-03-25 10:00:00+02:00,0.2
2011-04-01 10:00:00+03:00,1.26
2012-03-21 10:00:00+02:00,1.42
2013-03-20 10:00:00+02:00,1.3
2014-03-26 10:00:00+02:00,1.25
2015-03-25 10:00:00+02:00,1.3
2016-03-23 10:00:00+02:00,1.3
2017-03-23 10:00:00+02:00,1.55
2018-03-21 10:00:00+02:00,1.45
2019-03-27 10:00:00+02:00,1.5
2020-05-07 10:00:00+03:00,1.5
2021-03-26 10:00:00+02:00,1.5
2022-03-24 10:00:00+02:00,1.5
2023-03-23 10:00:00+02:00,1.6
2024-03-21 10:00:00+02:00,0.81
2024-10-15 10:00:00+03:00,0.81
2025-04-04 10:00:00+03:00,0.82
2025-10-15 10:00:00+03:00,0.82
2026-03-25 10:00:00+02:00,0.9
