Date,Dividends
2002-02-08 10:00:00+02:00,0.045
2003-02-18 10:00:00+02:00,0.04
2004-02-20 10:00:00+02:00,0.035
2005-02-14 10:00:00+02:00,0.04
2005-10-19 10:00:00+03:00,0.05
2005-12-20 10:00:00+02:00,0.06
2006-12-18 10:00:00+02:00,0.13
2009-01-27 10:00:00+02:00,0.12
2010-01-28 10:00:00+02:00,0.12
2011-01-28 10:00:00+02:00,0.05
2012-02-01 10:00:00+02:00,0.1
2013-01-30 10:00:00+02:00,0.04
2015-02-06 10:00:00+02:00,0.04
2016-02-03 10:00:00+02:00,0.05
2017-02-01 10:00:00+02:00,0.04
2019-02-01 10:00:00+02:00,0.05
2019-09-18 10:00:00+03:00,0.03
2020-02-07 10:00:00+02:00,0.05
2021-02-08 10:00:00+02:00,0.03
2022-02-08 10:00:00+02:00,0.03
2022-06-17 10:00:00+03:00,0.05
2023-02-08 10:00:00+02:00,0.03
