Date,Dividends
2000-04-07 10:00:00+03:00,0.2
2001-04-04 10:00:00+03:00,0.1
2002-04-08 10:00:00+03:00,0.017
2003-03-24 10:00:00+02:00,0.02
2004-03-29 10:00:00+03:00,0.01
2004-10-01 10:00:00+03:00,0.12
2005-04-01 10:00:00+03:00,0.03
2006-03-31 10:00:00+03:00,0.05
2007-04-02 10:00:00+03:00,0.03
2008-03-28 10:00:00+02:00,0.04
2009-03-27 10:00:00+02:00,0.07
2010-03-26 10:00:00+02:00,0.09
2011-03-25 10:00:00+02:00,0.1
2012-03-30 10:00:00+03:00,0.11
2013-03-28 10:00:00+02:00,0.12
2014-03-28 10:00:00+02:00,0.13
2015-03-27 10:00:00+02:00,0.14
2016-03-24 10:00:00+02:00,0.16
2017-03-24 10:00:00+02:00,0.17
2018-03-22 10:00:00+02:00,0.17
2019-03-20 10:00:00+02:00,0.16
2020-04-28 10:00:00+03:00,0.13
2021-04-14 10:00:00+03:00,0.13
2022-04-13 10:00:00+03:00,0.14
2023-04-21 10:00:00+03:00,0.14
2024-04-10 10:00:00+03:00,0.14
2025-04-16 10:00:00+03:00,0.14
2026-04-17 10:00:00+03:00,0.15
