Date,Dividends
2001-12-07 10:00:00+02:00,0.02
2002-12-05 10:00:00+02:00,0.05
2004-04-22 10:00:00+03:00,0.12
2005-04-20 10:00:00+03:00,0.09
2006-04-06 10:00:00+03:00,0.11
2007-04-05 10:00:00+03:00,0.12
2008-04-04 10:00:00+03:00,0.18
2009-04-08 10:00:00+03:00,0.19
2010-04-15 10:00:00+03:00,0.19
2011-04-06 10:00:00+03:00,0.23
2012-04-12 10:00:00+03:00,0.23
2013-04-12 10:00:00+03:00,0.23
2014-04-11 10:00:00+03:00,0.24
2015-03-30 10:00:00+03:00,0.2
2016-04-04 10:00:00+03:00,0.15
2017-03-31 10:00:00+03:00,0.05
2017-10-27 10:00:00+03:00,0.05
2018-04-03 10:00:00+03:00,0.02
2018-10-31 10:00:00+02:00,0.02
2019-03-29 10:00:00+02:00,0.03
2019-10-31 10:00:00+02:00,0.03
2022-03-24 10:00:00+02:00,0.15
2023-03-30 10:00:00+03:00,0.04
