Date,Dividends
2001-05-04 10:00:00+03:00,0.5
2002-03-14 10:00:00+02:00,0.08
2003-03-13 10:00:00+02:00,0.08
2004-03-11 10:00:00+02:00,0.08
2005-03-10 10:00:00+02:00,0.3
2006-03-20 10:00:00+02:00,0.3
2007-03-23 10:00:00+02:00,0.3
2008-06-12 10:00:00+03:00,0.5
2009-06-11 10:00:00+03:00,0.25
2010-06-10 10:00:00+03:00,0.25
2017-03-31 10:00:00+03:00,0.04
2018-03-23 10:00:00+02:00,0.04
2018-10-24 10:00:00+03:00,0.04
2019-03-29 10:00:00+02:00,0.02
2021-04-09 10:00:00+03:00,0.05
2022-04-07 10:00:00+03:00,0.09
2023-05-12 10:00:00+03:00,0.2
2023-05-25 10:00:00+03:00,0.2
2024-04-24 10:00:00+03:00,2.0
2025-04-25 10:00:00+03:00,0.07
2026-04-27 10:00:00+03:00,0.09
