Date,Dividends
2002-01-11 10:00:00+02:00,0.8
2003-01-20 10:00:00+02:00,0.65
2004-01-26 10:00:00+02:00,0.6
2004-12-17 10:00:00+02:00,0.14
2005-01-07 10:00:00+02:00,0.51
2005-12-15 10:00:00+02:00,0.65
2007-01-12 10:00:00+02:00,0.95
2008-01-15 10:00:00+02:00,0.7
2009-01-21 10:00:00+02:00,0.7
2010-01-22 10:00:00+02:00,0.42
2010-08-06 10:00:00+03:00,0.14472
2011-01-24 10:00:00+02:00,1.06
2012-01-20 10:00:00+02:00,1.45
2013-01-25 10:00:00+02:00,1.7
2014-04-25 10:00:00+03:00,2.05
2015-04-23 10:00:00+03:00,0.7
2016-04-22 10:00:00+03:00,1.0
2017-04-28 10:00:00+03:00,0.2
2017-10-09 10:00:00+03:00,0.3
2019-04-29 10:00:00+03:00,0.5
2022-05-02 10:00:00+03:00,1.28
2023-05-02 10:00:00+03:00,0.14
2024-04-29 10:00:00+03:00,0.66
2025-04-28 10:00:00+03:00,0.71
2026-04-29 10:00:00+03:00,0.72
