Date,Dividends
2000-04-13 10:00:00+03:00,0.58
2001-04-06 10:00:00+03:00,0.32
2002-04-11 10:00:00+03:00,0.15
2003-04-10 10:00:00+03:00,0.07
2004-04-08 10:00:00+03:00,0.3
2005-04-12 10:00:00+03:00,0.04
2006-04-06 10:00:00+03:00,0.12
2007-04-13 10:00:00+03:00,0.24
2008-04-16 10:00:00+03:00,0.24
2009-04-08 10:00:00+03:00,0.16
2010-04-14 10:00:00+03:00,0.2
2011-04-15 10:00:00+03:00,0.23
2012-04-13 10:00:00+03:00,0.24
2013-04-19 10:00:00+03:00,0.27
2014-04-25 10:00:00+03:00,0.33
2015-04-17 10:00:00+03:00,0.39
2016-04-22 10:00:00+03:00,0.43
2017-04-28 10:00:00+03:00,0.46
2018-04-20 10:00:00+03:00,0.52
2019-04-10 10:00:00+03:00,0.57
2020-06-03 10:00:00+03:00,0.3
2021-05-20 10:00:00+03:00,0.34
2022-05-19 10:00:00+03:00,0.82
2023-05-19 10:00:00+03:00,0.52
2024-04-26 10:00:00+03:00,0.36
2025-04-24 10:00:00+03:00,0.34
2026-04-23 10:00:00+03:00,0.36
