Date,Dividends
2001-03-30 10:00:00+03:00,0.47
2002-04-10 10:00:00+03:00,0.51
2003-04-02 10:00:00+03:00,0.4
2004-03-31 10:00:00+03:00,1.0
2005-04-13 10:00:00+03:00,0.8
2006-04-04 10:00:00+03:00,0.9
2007-04-05 10:00:00+03:00,0.95
2008-04-02 10:00:00+03:00,1.0
2009-04-02 10:00:00+03:00,0.9
2010-04-09 10:00:00+03:00,0.8
2011-04-06 10:00:00+03:00,1.1
2012-04-04 10:00:00+03:00,0.6
2013-04-04 10:00:00+03:00,0.6
2014-04-10 10:00:00+03:00,0.3
2015-04-09 10:00:00+03:00,0.2
2016-04-13 10:00:00+03:00,0.1
2017-03-22 10:00:00+02:00,0.2
2018-03-23 10:00:00+02:00,0.2
2018-10-24 10:00:00+03:00,0.15
2019-03-28 10:00:00+02:00,0.25
2019-10-25 10:00:00+03:00,0.2
2020-03-26 10:00:00+02:00,0.25
2020-10-29 10:00:00+02:00,0.25
2021-04-14 10:00:00+03:00,0.26
2021-10-27 10:00:00+03:00,0.26
2022-04-08 10:00:00+03:00,0.27
2022-10-27 10:00:00+03:00,0.27
2023-04-20 10:00:00+03:00,0.13
2023-09-14 10:00:00+03:00,0.13
2023-10-26 10:00:00+03:00,0.11
2024-04-18 10:00:00+03:00,0.13
2024-09-16 10:00:00+03:00,0.13
2024-11-04 10:00:00+02:00,0.11
2025-04-30 10:00:00+03:00,0.13
2025-09-15 10:00:00+03:00,0.13
2025-11-03 10:00:00+02:00,0.13
2026-05-08 10:00:00+03:00,0.14
2026-09-14 10:00:00+03:00,0.14
