Date,Dividends
2000-03-22 10:00:00+02:00,0.4
2001-03-21 10:00:00+02:00,0.45
2002-03-20 10:00:00+02:00,0.45
2003-03-21 10:00:00+02:00,0.45
2004-03-19 10:00:00+02:00,0.45
2005-03-23 10:00:00+02:00,0.45
2006-03-22 10:00:00+02:00,0.45
2007-03-30 10:00:00+03:00,0.45
2008-03-27 10:00:00+02:00,0.45
2009-07-29 10:00:00+03:00,0.2
2010-04-01 10:00:00+03:00,0.33
2011-04-21 10:00:00+03:00,0.25
2012-04-25 10:00:00+03:00,0.3
2013-04-24 10:00:00+03:00,0.3
2014-04-24 10:00:00+03:00,0.3
2015-04-23 10:00:00+03:00,0.3
2016-04-29 10:00:00+03:00,0.33
2017-04-28 10:00:00+03:00,0.37
2018-03-29 10:00:00+03:00,0.41
2019-03-15 10:00:00+02:00,0.5
2020-06-05 10:00:00+03:00,0.15
2020-12-09 10:00:00+02:00,0.15
2021-03-22 10:00:00+02:00,0.3
2022-03-16 10:00:00+02:00,0.55
2023-03-17 10:00:00+02:00,0.6
2025-03-21 10:00:00+02:00,0.13
2025-09-24 10:00:00+03:00,0.12
2026-03-25 10:00:00+02:00,0.13
