Date,Dividends
2000-03-30 10:00:00+03:00,0.49
2001-03-23 10:00:00+02:00,0.49
2002-03-22 10:00:00+02:00,1.0
2003-03-21 10:00:00+02:00,0.5
2004-03-19 10:00:00+02:00,0.5
2004-11-26 10:00:00+02:00,0.5
2005-03-18 10:00:00+02:00,1.0
2006-03-24 10:00:00+02:00,0.85
2007-03-23 10:00:00+02:00,1.2
2008-03-28 10:00:00+02:00,0.5
2009-03-27 10:00:00+02:00,0.5
2010-03-26 10:00:00+02:00,0.5
2011-03-25 10:00:00+02:00,0.7
2012-03-23 10:00:00+02:00,0.75
2013-03-26 10:00:00+02:00,0.83
2014-03-21 10:00:00+02:00,0.9
2015-03-20 10:00:00+02:00,1.3
2016-03-23 10:00:00+02:00,1.35
2017-03-24 10:00:00+02:00,1.37
2018-03-23 10:00:00+02:00,1.4
2019-03-22 10:00:00+02:00,1.45
2020-07-24 10:00:00+03:00,0.3175
2020-09-25 10:00:00+03:00,0.3175
2021-03-26 10:00:00+02:00,0.66
2021-09-24 10:00:00+03:00,0.66
2022-03-25 10:00:00+02:00,0.7
2022-09-23 10:00:00+03:00,0.7
2023-03-24 10:00:00+02:00,0.725
2023-09-22 10:00:00+03:00,0.725
2024-03-14 10:00:00+02:00,0.735
2024-09-20 10:00:00+03:00,0.735
2025-03-26 10:00:00+02:00,0.75
2025-09-22 10:00:00+03:00,0.75
2026-03-25 10:00:00+02:00,0.44
