Date,Dividends
2000-04-13 10:00:00+03:00,0.1
2001-04-09 10:00:00+03:00,0.12
2002-04-09 10:00:00+03:00,0.16
2003-04-09 10:00:00+03:00,0.08
2004-03-17 10:00:00+02:00,0.08
2005-04-06 10:00:00+03:00,0.12
2006-04-05 10:00:00+03:00,0.16
2007-04-04 10:00:00+03:00,0.2
2008-04-02 10:00:00+03:00,0.24
2009-04-08 10:00:00+03:00,0.12
2010-04-12 10:00:00+03:00,0.08
2011-04-11 10:00:00+03:00,0.12
2012-04-04 10:00:00+03:00,0.14
2013-04-15 10:00:00+03:00,0.17
2014-04-02 10:00:00+03:00,0.19
2015-04-10 10:00:00+03:00,0.2
2016-04-08 10:00:00+03:00,0.23
2017-04-07 10:00:00+03:00,0.25
2018-04-06 10:00:00+03:00,0.1
2019-04-05 10:00:00+03:00,0.2
2020-11-24 10:00:00+02:00,0.1
2021-04-08 10:00:00+03:00,0.12
2022-04-07 10:00:00+03:00,0.14
2025-06-27 10:00:00+03:00,0.03
2026-06-29 10:00:00+03:00,0.05
