Date,Dividends
2000-03-30 10:00:00+03:00,0.085
2001-03-29 10:00:00+03:00,0.065
2002-04-04 10:00:00+03:00,0.083
2003-03-27 10:00:00+02:00,0.111
2004-04-06 10:00:00+03:00,0.156
2005-04-06 10:00:00+03:00,0.217
2006-04-07 10:00:00+03:00,0.23
2007-04-04 10:00:00+03:00,0.31
2008-04-04 10:00:00+03:00,0.5
2009-04-03 10:00:00+03:00,0.4
2010-04-09 10:00:00+03:00,0.4
2011-04-08 10:00:00+03:00,0.65
2012-04-13 10:00:00+03:00,1.2
2013-04-12 10:00:00+03:00,1.45
2014-04-09 10:00:00+03:00,1.45
2015-04-09 10:00:00+03:00,1.45
2016-04-13 10:00:00+03:00,1.5
2017-04-11 10:00:00+03:00,1.53
2018-04-11 10:00:00+03:00,1.56
2019-04-10 10:00:00+03:00,1.58
2020-04-03 10:00:00+03:00,0.79
2020-10-28 10:00:00+02:00,0.35
2021-03-31 10:00:00+03:00,0.6
2021-11-03 10:00:00+02:00,0.6
2022-04-29 10:00:00+03:00,0.55
2023-04-27 10:00:00+03:00,0.35
2023-11-01 10:00:00+02:00,0.2
2024-04-30 10:00:00+03:00,0.35
2024-10-30 10:00:00+02:00,0.2
2025-05-08 10:00:00+03:00,0.25
2026-03-26 10:00:00+02:00,0.25
