Date,Dividends
2000-03-22 10:00:00+02:00,0.625
2000-06-14 10:00:00+03:00,0.45
2001-03-23 10:00:00+02:00,0.75
2002-03-20 10:00:00+02:00,0.75
2003-03-20 10:00:00+02:00,0.75
2004-03-25 10:00:00+02:00,0.75
2005-04-01 10:00:00+03:00,0.75
2006-03-23 10:00:00+02:00,0.75
2007-03-28 10:00:00+03:00,0.75
2008-03-27 10:00:00+02:00,0.75
2009-03-26 10:00:00+02:00,0.4
2010-03-23 10:00:00+02:00,0.45
2011-04-08 10:00:00+03:00,0.55
2012-04-02 10:00:00+03:00,0.6
2013-04-05 10:00:00+03:00,0.6
2014-04-09 10:00:00+03:00,0.6
2015-04-10 10:00:00+03:00,0.7
2016-04-08 10:00:00+03:00,0.75
2017-03-30 10:00:00+03:00,0.95
2018-04-06 10:00:00+03:00,1.15
2019-04-05 10:00:00+03:00,1.3
2020-04-01 10:00:00+03:00,1.3
2021-03-31 10:00:00+03:00,1.3
2022-03-30 10:00:00+03:00,1.3
2023-04-13 10:00:00+03:00,0.75
2023-10-25 10:00:00+03:00,0.75
2024-04-05 10:00:00+03:00,0.75
2024-10-30 10:00:00+02:00,0.75
2025-03-28 10:00:00+02:00,0.75
2025-10-30 10:00:00+02:00,0.75
2026-04-10 10:00:00+03:00,0.75
