Date,Dividends
2000-03-10 10:00:00+02:00,1.25
2001-03-16 10:00:00+02:00,2.0
2002-03-15 10:00:00+02:00,0.275
2003-03-20 10:00:00+02:00,0.275
2004-03-19 10:00:00+02:00,0.375
2004-12-15 10:00:00+02:00,0.25
2005-03-23 10:00:00+02:00,0.375
2006-03-24 10:00:00+02:00,0.375
2007-03-23 10:00:00+02:00,0.425
2008-03-28 10:00:00+02:00,0.425
2009-03-27 10:00:00+02:00,0.45
2010-03-26 10:00:00+02:00,0.325
2011-03-25 10:00:00+02:00,0.325
2012-03-29 10:00:00+03:00,0.325
2013-03-27 10:00:00+02:00,0.45
2013-08-14 10:00:00+03:00,0.615
2014-03-27 10:00:00+02:00,0.45
2015-04-01 10:00:00+03:00,0.45
2016-04-06 10:00:00+03:00,0.475
2017-03-29 10:00:00+03:00,0.5
2018-04-11 10:00:00+03:00,2.1
2019-03-27 10:00:00+02:00,0.58
2020-06-04 10:00:00+03:00,0.61
2021-03-31 10:00:00+03:00,0.61
2022-03-30 10:00:00+03:00,0.68
2023-03-29 10:00:00+03:00,0.72
2024-03-27 10:00:00+02:00,0.75
2025-03-26 10:00:00+02:00,0.85
2026-03-25 10:00:00+02:00,0.86
