Date,Dividends
2014-03-27 10:00:00+02:00,0.15
2015-03-30 10:00:00+03:00,0.25
2016-03-23 10:00:00+02:00,0.35
2017-03-24 10:00:00+02:00,0.42
2018-03-22 10:00:00+02:00,0.55
2019-03-22 10:00:00+02:00,0.65
2020-06-17 10:00:00+03:00,0.8
2021-03-24 10:00:00+02:00,0.9
2022-03-23 10:00:00+02:00,1.2
2023-03-23 10:00:00+02:00,0.65
2023-09-29 10:00:00+03:00,0.65
2024-03-25 10:00:00+02:00,0.68
2024-09-30 10:00:00+03:00,0.67
2025-03-27 10:00:00+02:00,0.68
2025-09-26 10:00:00+03:00,0.67
2026-03-26 10:00:00+02:00,0.68
