Date,Dividends
2015-03-19 10:00:00+02:00,0.141667
2016-03-16 10:00:00+02:00,0.15
2017-03-16 10:00:00+02:00,0.04
2017-05-02 10:00:00+03:00,0.061
2017-07-17 10:00:00+03:00,0.042
2017-10-23 10:00:00+03:00,0.043
2018-03-22 10:00:00+02:00,0.044
2018-05-07 10:00:00+03:00,0.045
2018-08-13 10:00:00+03:00,0.046
2018-10-29 10:00:00+02:00,0.047
2019-03-29 10:00:00+02:00,0.048
2019-05-13 10:00:00+03:00,0.049
2019-08-12 10:00:00+03:00,0.05
2019-10-28 10:00:00+02:00,0.05
2020-04-01 10:00:00+03:00,0.052
2020-04-27 10:00:00+03:00,0.053
2020-07-27 10:00:00+03:00,0.054
2020-10-26 10:00:00+02:00,0.055
2021-03-26 10:00:00+02:00,0.276
2021-04-26 10:00:00+03:00,0.057
2021-07-19 10:00:00+03:00,0.058
2021-10-25 10:00:00+03:00,0.059
2022-03-25 10:00:00+02:00,0.06
2022-04-29 10:00:00+03:00,0.061
2022-07-15 10:00:00+03:00,0.062
2022-10-28 10:00:00+03:00,0.063
2026-04-15 10:00:00+03:00,0.047
2026-07-17 10:00:00+03:00,0.048
