Date,Dividends
2002-04-04 10:00:00+03:00,0.26
2003-04-04 10:00:00+03:00,0.34
2004-04-06 10:00:00+03:00,0.4
2004-11-17 10:00:00+02:00,0.4
2005-04-07 10:00:00+03:00,0.16
2006-04-06 10:00:00+03:00,0.1
2007-04-05 10:00:00+03:00,0.12
2008-04-07 10:00:00+03:00,0.18
2009-04-27 10:00:00+03:00,0.05
2010-04-26 10:00:00+03:00,0.05
2011-04-29 10:00:00+03:00,0.05
2012-04-24 10:00:00+03:00,0.07
2013-04-11 10:00:00+03:00,0.08
2016-04-08 10:00:00+03:00,0.1
2017-04-07 10:00:00+03:00,0.1
2018-04-06 10:00:00+03:00,0.05
2020-11-02 10:00:00+02:00,0.11
2021-04-09 10:00:00+03:00,0.12
2022-04-11 10:00:00+03:00,0.065
2022-10-11 10:00:00+03:00,0.065
2023-04-11 10:00:00+03:00,0.07
2023-10-11 10:00:00+03:00,0.07
2024-04-05 10:00:00+03:00,0.08
2024-10-04 10:00:00+03:00,0.07
2025-04-04 10:00:00+03:00,0.08
2025-10-03 10:00:00+03:00,0.08
2026-04-10 10:00:00+03:00,0.09
