Date,Dividends
2001-03-09 10:00:00+02:00,0.1875
2002-03-08 10:00:00+02:00,0.2125
2003-03-14 10:00:00+02:00,0.225
2004-03-19 10:00:00+02:00,0.3
2005-03-17 10:00:00+02:00,0.35
2006-03-14 10:00:00+02:00,0.55
2007-03-19 10:00:00+02:00,0.65
2008-03-14 10:00:00+02:00,0.8
2009-03-12 10:00:00+02:00,0.5
2010-03-11 10:00:00+02:00,0.4
2011-03-14 10:00:00+02:00,0.65
2012-03-14 10:00:00+02:00,0.7
2013-03-18 10:00:00+02:00,0.75
2014-03-19 10:00:00+02:00,0.38
2015-03-19 10:00:00+02:00,0.18
2016-03-16 10:00:00+02:00,0.22
2017-03-17 10:00:00+02:00,0.22
2018-03-19 10:00:00+02:00,0.25
2019-03-13 10:00:00+02:00,0.27
2020-03-13 10:00:00+02:00,0.14
2020-09-21 10:00:00+03:00,0.26
2021-03-19 10:00:00+02:00,0.07
2021-09-30 10:00:00+03:00,0.07
2022-03-21 10:00:00+02:00,0.08
2022-10-03 10:00:00+03:00,0.08
2023-03-20 10:00:00+02:00,0.09
2023-10-02 10:00:00+03:00,0.09
