Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BITTI.HE,BITTI.HE,BITTI.HE,BITTI.HE,BITTI.HE,BITTI.HE
Date,,,,,,
2016-01-04,5.626407146453857,7.010000228881836,7.110000133514404,6.989999771118164,7.019999980926514,45760
2016-01-05,5.457855701446533,6.800000190734863,6.920000076293945,6.800000190734863,6.809999942779541,64443
2016-01-07,5.329436302185059,6.639999866485596,6.789999961853027,6.46999979019165,6.760000228881836,388228
2016-01-08,5.329436302185059,6.639999866485596,6.789999961853027,6.46999979019165,6.760000228881836,388228
2016-01-11,5.289304733276367,6.590000152587891,6.900000095367432,6.550000190734863,6.880000114440918,201988
2016-01-12,5.217067241668701,6.5,6.679999828338623,6.460000038146973,6.599999904632568,153408
2016-01-13,5.192989349365234,6.46999979019165,6.610000133514404,6.460000038146973,6.519999980926514,71892
2016-01-14,4.9281229972839355,6.139999866485596,6.46999979019165,6.119999885559082,6.46999979019165,174793
2016-01-15,4.703388214111328,5.860000133514404,6.28000020980835,5.829999923706055,6.159999847412109,137322
2016-01-18,4.591019630432129,5.71999979019165,6.050000190734863,5.53000020980835,5.860000133514404,245457
2016-01-19,4.807728290557861,5.989999771118164,6.110000133514404,5.800000190734863,5.800000190734863,117882
2016-01-20,4.647202968597412,5.789999961853027,5.900000095367432,5.769999980926514,5.889999866485596,83626
2016-01-21,4.687335014343262,5.840000152587891,5.880000114440918,5.78000020980835,5.800000190734863,55594
2016-01-22,4.8318071365356445,6.019999980926514,6.150000095367432,5.940000057220459,6.0,88042
2016-01-25,5.225093364715576,6.510000228881836,6.559999942779541,6.139999866485596,6.150000095367432,162046
2016-01-26,5.225093364715576,6.510000228881836,6.550000190734863,6.380000114440918,6.449999809265137,84761
2016-01-27,5.168910980224609,6.440000057220459,6.570000171661377,6.380000114440918,6.570000171661377,65308
2016-01-28,4.968254566192627,6.190000057220459,6.5,6.170000076293945,6.449999809265137,133841
2016-01-29,5.024437427520752,6.260000228881836,6.380000114440918,6.199999809265137,6.260000228881836,71974
2016-02-01,4.8318071365356445,6.019999980926514,6.329999923706055,6.019999980926514,6.329999923706055,90543
2016-02-02,4.847859859466553,6.039999961853027,6.199999809265137,6.039999961853027,6.050000190734863,72654
2016-02-03,4.904043674468994,6.110000133514404,6.110000133514404,5.940000057220459,6.110000133514404,239208
2016-02-04,4.871939182281494,6.070000171661377,6.210000038146973,6.059999942779541,6.119999885559082,98896
2016-02-05,4.879965782165527,6.079999923706055,6.110000133514404,6.050000190734863,6.099999904632568,156646
2016-02-08,4.7756242752075195,5.949999809265137,6.099999904632568,5.929999828338623,6.099999904632568,123318
2016-02-09,4.607072830200195,5.739999771118164,5.920000076293945,5.710000038146973,5.909999847412109,94145
2016-02-10,4.719439506530762,5.880000114440918,5.980000019073486,5.75,5.769999980926514,90901
2016-02-11,4.607072830200195,5.739999771118164,5.920000076293945,5.739999771118164,5.900000095367432,87963
2016-02-12,4.896017551422119,6.099999904632568,6.230000019073486,5.809999942779541,5.809999942779541,341858
2016-02-15,5.176936149597168,6.449999809265137,6.5,6.300000190734863,6.309999942779541,91405
2016-02-16,5.225093364715576,6.510000228881836,6.559999942779541,6.480000019073486,6.480000019073486,96749
2016-02-17,5.497987270355225,6.849999904632568,7.139999866485596,6.489999771118164,6.539999961853027,264266
2016-02-18,4.574966907501221,5.699999809265137,6.130000114440918,5.5,5.769999980926514,688352
2016-02-19,4.302073955535889,5.360000133514404,5.71999979019165,5.360000133514404,5.699999809265137,495384
2016-02-22,4.221811294555664,5.260000228881836,5.400000095367432,5.150000095367432,5.369999885559082,441360
2016-02-23,4.245890140533447,5.289999961853027,5.429999828338623,5.269999980926514,5.340000152587891,228263
2016-02-24,4.149576187133789,5.170000076293945,5.360000133514404,5.159999847412109,5.360000133514404,115700
2016-02-25,4.165627956390381,5.190000057220459,5.239999771118164,5.170000076293945,5.170000076293945,72692
2016-02-26,4.173654079437256,5.199999809265137,5.289999961853027,5.199999809265137,5.199999809265137,99191
2016-02-29,4.197732925415039,5.230000019073486,5.25,5.199999809265137,5.210000038146973,75145
2016-03-01,4.213784694671631,5.25,5.329999923706055,5.210000038146973,5.25,75035
2016-03-02,4.277996063232422,5.329999923706055,5.389999866485596,5.289999961853027,5.289999961853027,53958
