Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DIGIGR.HE,DIGIGR.HE,DIGIGR.HE,DIGIGR.HE,DIGIGR.HE,DIGIGR.HE
Date,,,,,,
2016-01-04,16.75,16.75,16.75,15.75,15.75,4690
2016-01-05,17.25,17.25,17.5,15.75,15.75,60
2016-01-07,17.25,17.25,17.5,16.0,17.5,184
2016-01-08,17.25,17.25,17.5,17.25,17.5,124
2016-01-11,17.0,17.0,17.0,16.5,16.5,186
2016-01-12,16.0,16.0,17.25,16.0,17.0,343
2016-01-13,16.5,16.5,16.5,16.0,16.25,74
2016-01-14,15.5,15.5,16.25,15.5,16.25,1274
2016-01-15,15.5,15.5,16.0,15.5,16.0,195
2016-01-18,16.0,16.0,16.25,15.5,15.5,48
2016-01-19,16.5,16.5,17.25,15.5,17.25,136
2016-01-20,16.25,16.25,17.25,16.25,17.25,99
2016-01-21,15.75,15.75,16.5,15.75,15.75,117
2016-01-22,16.75,16.75,16.75,16.0,16.25,308
2016-01-25,15.75,15.75,16.75,15.75,16.75,106
2016-01-26,15.75,15.75,15.75,15.25,15.75,327
2016-01-27,16.0,16.0,16.25,15.5,15.5,350
2016-01-28,15.75,15.75,16.0,15.75,16.0,233
2016-01-29,15.75,15.75,15.75,15.75,15.75,0
2016-02-01,16.25,16.25,16.75,16.25,16.25,22
2016-02-02,15.25,15.25,15.75,15.25,15.75,10
2016-02-03,15.5,15.5,15.5,15.5,15.5,26
2016-02-04,16.0,16.0,16.0,15.75,15.75,171
2016-02-05,15.5,15.5,16.0,15.5,16.0,367
2016-02-08,15.75,15.75,16.75,15.25,16.75,265
2016-02-09,15.0,15.0,15.25,14.5,15.25,420
2016-02-10,15.0,15.0,15.5,14.5,15.5,220
2016-02-11,15.25,15.25,15.75,15.25,15.75,34
2016-02-12,15.25,15.25,15.25,14.5,15.0,170
2016-02-15,15.0,15.0,16.75,14.5,15.25,504
2016-02-16,15.0,15.0,15.0,14.75,15.0,184
2016-02-17,15.75,15.75,15.75,15.0,15.0,152
2016-02-18,14.75,14.75,16.0,14.0,15.75,399
2016-02-19,14.75,14.75,15.0,14.25,15.0,160
2016-02-22,14.75,14.75,15.0,14.0,14.75,155
2016-02-23,15.5,15.5,15.5,15.0,15.0,51
2016-02-24,15.25,15.25,15.25,14.25,15.0,192
2016-02-25,15.5,15.5,15.5,15.0,15.25,68
2016-02-26,15.0,15.0,16.0,15.0,16.0,408
2016-02-29,15.75,15.75,15.75,15.0,15.0,66
2016-03-01,14.75,14.75,15.75,14.75,15.75,13
2016-03-02,15.75,15.75,16.0,15.75,16.0,172
2016-03-03,15.0,15.0,15.25,15.0,15.25,193
2016-03-04,15.0,15.0,16.0,15.0,15.25,371
2016-03-07,15.0,15.0,15.25,15.0,15.0,482
2016-03-08,14.5,14.5,15.25,14.5,15.25,613
2016-03-09,15.25,15.25,15.25,14.5,14.5,38
2016-03-10,14.75,14.75,14.75,14.75,14.75,1
2016-03-11,15.25,15.25,15.25,15.25,15.25,1
2016-03-14,15.75,15.75,15.75,14.75,14.75,475
2016-03-15,15.0,15.0,15.75,15.0,15.75,17
2016-03-16,15.0,15.0,15.75,14.75,15.75,31
2016-03-17,14.75,14.75,14.75,14.75,14.75,346
2016-03-18,15.0,15.0,15.0,14.25,14.25,725
2016-03-21,15.25,15.25,15.25,14.5,15.0,131
2016-03-22,15.0,15.0,15.25,15.0,15.25,38
2016-03-23,15.0,15.0,15.0,15.0,15.0,164
2016-03-24,15.0,15.0,15.5,15.0,15.5,380
2016-03-29,15.5,15.5,15.5,14.75,15.0,31
2016-03-30,15.0,15.0,15.5,15.0,15.5,87
2016-03-31,15.0,15.0,15.75,15.0,15.0,194
2016-04-01,15.0,15.0,16.0,15.0,15.5,269
2016-04-04,15.0,15.0,15.25,15.0,15.0,128
2016-04-05,15.0,15.0,15.0,15.0,15.0,28
2016-04-06,15.0,15.0,15.0,15.0,15.0,0
2016-04-07,15.75,15.75,15.75,15.0,15.0,106
2016-04-08,14.5,14.5,15.25,14.5,15.25,328
2016-04-11,14.25,14.25,14.5,14.25,14.5,176
2016-04-12,15.0,15.0,15.0,14.75,14.75,202
2016-04-13,15.0,15.0,15.0,14.75,14.75,131
2016-04-14,15.25,15.25,15.25,14.25,15.25,159
2016-04-15,15.75,15.75,15.75,15.0,15.0,1183
2016-04-18,16.25,16.25,19.0,16.0,16.5,1962
2016-04-19,17.25,17.25,17.25,16.5,17.25,487
2016-04-20,16.5,16.5,17.25,16.5,17.25,280
2016-04-21,16.75,16.75,17.5,16.5,17.5,359
2016-04-22,16.75,16.75,17.25,16.75,16.75,364
2016-04-25,16.75,16.75,17.5,16.75,16.75,41
2016-04-26,17.0,17.0,17.0,16.25,16.75,280
2016-04-27,17.0,17.0,17.0,17.0,17.0,60
2016-04-28,17.0,17.0,17.0,15.25,17.0,682
2016-04-29,16.5,16.5,17.0,15.5,17.0,120
2016-05-02,17.25,17.25,17.25,16.75,16.75,118
2016-05-03,16.25,16.25,17.25,16.25,17.25,142
2016-05-04,16.75,16.75,17.0,16.25,16.25,78
2016-05-06,15.75,15.75,16.75,15.75,16.75,31
2016-05-09,15.75,15.75,15.75,15.75,15.75,4
2016-05-10,15.75,15.75,16.0,15.75,16.0,120
2016-05-11,15.5,15.5,17.5,15.5,17.5,17
2016-05-12,15.5,15.5,15.5,15.5,15.5,0
2016-05-13,15.25,15.25,15.25,14.25,15.0,562
2016-05-16,15.0,15.0,15.25,15.0,15.25,50
2016-05-17,16.5,16.5,16.75,15.25,15.25,119
2016-05-18,16.5,16.5,16.5,16.5,16.5,29
2016-05-19,16.5,16.5,16.5,16.5,16.5,4
2016-05-20,16.25,16.25,16.25,15.0,15.0,20
2016-05-23,15.5,15.5,15.5,15.25,15.25,8
2016-05-24,15.25,15.25,15.25,15.25,15.25,1
2016-05-25,15.5,15.5,15.5,15.5,15.5,0
2016-05-26,16.0,16.0,16.0,16.0,16.0,6
2016-05-27,15.75,15.75,16.25,15.75,15.75,31
2016-05-30,16.5,16.5,16.5,15.75,15.75,567
2016-05-31,15.5,15.5,16.5,15.5,16.5,254
2016-06-01,15.75,15.75,15.75,15.5,15.5,80
2016-06-02,15.75,15.75,15.75,15.75,15.75,128
2016-06-03,16.25,16.25,19.25,16.25,16.25,1278
2016-06-06,17.0,17.0,18.5,16.25,16.25,650
2016-06-07,17.5,17.5,17.5,16.5,16.5,335
2016-06-08,17.0,17.0,17.25,17.0,17.25,92
2016-06-09,17.5,17.5,17.75,17.5,17.5,12
2016-06-10,17.5,17.5,17.5,16.25,17.5,248
2016-06-13,17.25,17.25,17.5,17.25,17.5,181
2016-06-14,16.25,16.25,17.25,16.25,17.25,458
2016-06-15,17.25,17.25,17.25,17.25,17.25,21
2016-06-16,17.0,17.0,17.0,17.0,17.0,8
2016-06-17,17.0,17.0,17.0,16.25,16.25,100
2016-06-20,17.25,17.25,17.5,16.75,17.0,196
2016-06-21,17.25,17.25,17.25,16.25,17.25,154
2016-06-22,16.25,16.25,17.0,16.25,17.0,272
2016-06-23,16.5,16.5,17.25,16.25,16.25,178
