Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DUELL.HE,DUELL.HE,DUELL.HE,DUELL.HE,DUELL.HE,DUELL.HE
Date,,,,,,
2021-11-24,106.94117736816406,106.94117736816406,109.4117660522461,100.5882339477539,105.0,91194
2021-11-25,112.94117736816406,112.94117736816406,113.8058853149414,103.9058837890625,107.48823547363281,23908
2021-11-26,110.5941162109375,110.5941162109375,111.17646789550781,104.11764526367188,111.17646789550781,6249
2021-11-29,108.0,108.0,114.35294342041016,105.88235473632812,111.52941131591797,6387
2021-11-30,109.05882263183594,109.05882263183594,110.82353210449219,106.94117736816406,110.82353210449219,1097
2021-12-01,110.82353210449219,110.82353210449219,111.17646789550781,107.29412078857422,109.4117660522461,2098
2021-12-02,109.76470184326172,109.76470184326172,111.17646789550781,109.4117660522461,110.82353210449219,2539
2021-12-03,111.17646789550781,111.17646789550781,111.88235473632812,110.11764526367188,110.11764526367188,2604
2021-12-07,111.17646789550781,111.17646789550781,113.64705657958984,111.17646789550781,111.17646789550781,1339
2021-12-08,109.4117660522461,109.4117660522461,111.52941131591797,106.94117736816406,111.17646789550781,2250
2021-12-09,109.76470184326172,109.76470184326172,111.52941131591797,106.94117736816406,111.17646789550781,3179
2021-12-10,111.17646789550781,111.17646789550781,112.94117736816406,109.4117660522461,109.76470184326172,2399
2021-12-13,111.17646789550781,111.17646789550781,113.29412078857422,109.76470184326172,112.23529052734375,1045
2021-12-14,109.4117660522461,109.4117660522461,111.17646789550781,109.4117660522461,111.17646789550781,5768
2021-12-15,112.23529052734375,112.23529052734375,114.35294342041016,111.17646789550781,112.94117736816406,1218
2021-12-16,116.82353210449219,116.82353210449219,116.82353210449219,112.23529052734375,112.23529052734375,729
2021-12-17,116.11764526367188,116.11764526367188,118.23529052734375,112.94117736816406,117.17646789550781,362
2021-12-20,114.70587921142578,114.70587921142578,117.17646789550781,114.35294342041016,116.11764526367188,157
2021-12-21,118.23529052734375,118.23529052734375,118.23529052734375,113.29412078857422,114.70587921142578,4727
2021-12-22,123.52941131591797,123.52941131591797,123.52941131591797,118.5882339477539,118.94117736816406,178
2021-12-23,127.4117660522461,127.4117660522461,135.88235473632812,124.23529052734375,124.94117736816406,2632
2021-12-27,126.0,126.0,128.11764526367188,121.76470184326172,127.76470184326172,570
2021-12-28,126.35294342041016,126.35294342041016,126.70587921142578,124.23529052734375,126.0,314
2021-12-29,128.4705810546875,128.4705810546875,128.4705810546875,116.47058868408203,126.35294342041016,678
2021-12-30,128.11764526367188,128.11764526367188,132.35293579101562,123.88235473632812,128.8235321044922,295
2022-01-03,127.05882263183594,127.05882263183594,128.4705810546875,123.88235473632812,128.4705810546875,265
2022-01-04,124.94117736816406,124.94117736816406,129.35293579101562,124.5882339477539,127.05882263183594,11862
2022-01-05,125.64705657958984,125.64705657958984,127.94117736816406,125.11764526367188,125.82353210449219,701
2022-01-07,123.70587921142578,123.70587921142578,126.17646789550781,123.52941131591797,125.64705657958984,177
2022-01-10,119.29412078857422,119.29412078857422,126.52941131591797,119.29412078857422,126.35294342041016,357
2022-01-11,118.23529052734375,118.23529052734375,126.70587921142578,112.05882263183594,118.23529052734375,6703
2022-01-12,120.35294342041016,120.35294342041016,124.4117660522461,116.47058868408203,116.47058868408203,1871
2022-01-13,120.88235473632812,120.88235473632812,123.52941131591797,120.52941131591797,120.52941131591797,337
2022-01-14,119.47058868408203,119.47058868408203,125.82353210449219,117.17646789550781,125.82353210449219,580
2022-01-17,125.47058868408203,125.47058868408203,126.35294342041016,119.47058868408203,119.82353210449219,592
2022-01-18,135.0,135.0,136.94117736816406,129.0,136.05882263183594,4030
2022-01-19,139.41175842285156,139.41175842285156,141.1764678955078,135.88235473632812,135.88235473632812,1030
