Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ORNAV.HE,ORNAV.HE,ORNAV.HE,ORNAV.HE,ORNAV.HE,ORNAV.HE
Date,,,,,,
2016-01-04,21.43922996520996,31.829999923706055,32.04999923706055,31.75,31.850000381469727,4404
2016-01-05,20.482786178588867,30.40999984741211,31.68000030517578,30.40999984741211,31.68000030517578,9707
2016-01-07,20.24030113220215,30.049999237060547,30.799999237060547,29.719999313354492,30.799999237060547,6902
2016-01-08,20.233566284179688,30.040000915527344,30.459999084472656,30.040000915527344,30.34000015258789,11131
2016-01-11,19.77555274963379,29.360000610351562,29.829999923706055,29.360000610351562,29.649999618530273,5713
2016-01-12,19.943941116333008,29.610000610351562,29.850000381469727,29.200000762939453,29.350000381469727,13942
2016-01-13,20.199888229370117,29.989999771118164,30.34000015258789,29.65999984741211,30.0,4441
2016-01-14,19.51286506652832,28.969999313354492,29.450000762939453,28.600000381469727,29.450000762939453,4626
2016-01-15,19.45224380493164,28.8799991607666,29.06999969482422,28.200000762939453,28.8799991607666,11332
2016-01-18,19.007699966430664,28.219999313354492,28.639999389648438,28.15999984741211,28.280000686645508,4990
2016-01-19,19.075056076049805,28.31999969482422,28.81999969482422,28.239999771118164,28.389999389648438,4531
2016-01-20,18.893198013305664,28.049999237060547,28.68000030517578,27.93000030517578,28.1200008392334,11148
2016-01-21,19.2299747467041,28.549999237060547,28.8700008392334,28.049999237060547,28.049999237060547,9377
2016-01-22,19.5330753326416,29.0,29.270000457763672,28.709999084472656,28.780000686645508,4566
2016-01-25,19.6475772857666,29.170000076293945,29.399999618530273,29.1299991607666,29.299999237060547,2245
2016-01-26,19.937204360961914,29.600000381469727,29.690000534057617,28.969999313354492,29.170000076293945,6186
2016-01-27,20.260513305664062,30.079999923706055,30.200000762939453,29.700000762939453,29.700000762939453,11379
2016-01-28,19.735137939453125,29.299999237060547,30.049999237060547,29.239999771118164,30.0,8467
2016-01-29,20.011293411254883,29.709999084472656,30.0,29.389999389648438,29.81999969482422,7032
2016-02-01,20.550138473510742,30.510000228881836,31.010000228881836,30.030000686645508,30.030000686645508,5984
2016-02-02,19.539804458618164,29.010000228881836,31.15999984741211,29.010000228881836,31.15999984741211,28347
2016-02-03,19.842910766601562,29.459999084472656,30.110000610351562,28.940000534057617,29.170000076293945,4496
2016-02-04,19.930469512939453,29.59000015258789,29.81999969482422,29.399999618530273,29.799999237060547,4695
2016-02-05,20.065181732177734,29.790000915527344,30.200000762939453,29.31999969482422,29.649999618530273,13743
2016-02-08,19.735137939453125,29.299999237060547,30.5,29.299999237060547,30.0,12312
2016-02-09,18.79216194152832,27.899999618530273,29.399999618530273,27.700000762939453,29.399999618530273,5693
2016-02-10,19.351215362548828,28.729999542236328,28.780000686645508,27.899999618530273,28.100000381469727,3236
2016-02-11,19.007699966430664,28.219999313354492,28.75,27.950000762939453,28.75,2913
2016-02-12,19.250179290771484,28.579999923706055,28.579999923706055,28.100000381469727,28.100000381469727,2130
2016-02-15,19.519601821899414,28.979999542236328,29.0,28.600000381469727,28.6299991607666,4031
2016-02-16,19.20302963256836,28.510000228881836,29.389999389648438,28.510000228881836,29.389999389648438,1679
2016-02-17,19.4993953704834,28.950000762939453,29.56999969482422,28.860000610351562,28.860000610351562,14349
2016-02-18,20.300926208496094,30.139999389648438,30.510000228881836,29.559999465942383,29.600000381469727,9396
2016-02-19,20.31439208984375,30.15999984741211,30.579999923706055,30.0,30.139999389648438,5672
2016-02-22,20.779150009155273,30.850000381469727,31.0,30.5,30.5,5237
2016-02-23,20.543405532836914,30.5,30.799999237060547,30.290000915527344,30.799999237060547,1595
2016-02-24,20.172948837280273,29.950000762939453,30.450000762939453,29.920000076293945,30.450000762939453,2955
2016-02-25,20.56361198425293,30.530000686645508,30.530000686645508,30.200000762939453,30.450000762939453,5526
2016-02-26,20.7522029876709,30.809999465942383,30.809999465942383,30.329999923706055,30.549999237060547,2270
2016-02-29,22.119522094726562,32.84000015258789,32.84000015258789,29.979999542236328,30.600000381469727,13674
2016-03-01,20.799354553222656,30.8799991607666,31.739999771118164,30.65999984741211,31.739999771118164,7100
2016-03-02,20.543405532836914,30.5,31.18000030517578,30.5,30.989999771118164,3875
2016-03-03,20.172948837280273,29.950000762939453,30.610000610351562,29.950000762939453,30.600000381469727,3355
2016-03-04,20.354806900024414,30.219999313354492,30.360000610351562,29.899999618530273,30.360000610351562,1785
2016-03-07,20.071916580200195,29.799999237060547,30.270000457763672,29.739999771118164,30.270000457763672,6840
2016-03-08,19.85637855529785,29.479999542236328,30.030000686645508,29.25,29.850000381469727,4153
2016-03-09,19.937204360961914,29.600000381469727,30.100000381469727,29.3799991607666,30.100000381469727,4826
2016-03-10,19.654314041137695,29.18000030517578,30.100000381469727,29.18000030517578,29.700000762939453,2368
2016-03-11,20.058448791503906,29.780000686645508,29.780000686645508,29.530000686645508,29.600000381469727,2162
2016-03-14,20.105594635009766,29.850000381469727,30.020000457763672,29.780000686645508,29.969999313354492,3206
2016-03-15,20.071916580200195,29.799999237060547,30.100000381469727,29.68000030517578,29.920000076293945,2595
2016-03-16,20.071916580200195,29.799999237060547,30.0,29.5,30.0,2172
2016-03-17,19.96414566040039,29.639999389648438,29.899999618530273,29.3700008392334,29.799999237060547,1326
2016-03-18,19.762081146240234,29.34000015258789,30.0,28.889999389648438,30.0,8090
2016-03-21,20.280715942382812,30.110000610351562,30.350000381469727,29.40999984741211,29.40999984741211,4865
2016-03-22,20.300926208496094,30.139999389648438,30.229999542236328,29.670000076293945,30.190000534057617,1412
2016-03-23,20.06159210205078,28.5,29.40999984741211,28.5,29.0,5666
2016-03-24,20.019357681274414,28.440000534057617,29.700000762939453,28.40999984741211,29.700000762939453,5326
2016-03-29,20.07567024230957,28.520000457763672,28.809999465942383,28.440000534057617,28.75,6845
2016-03-30,20.28684425354004,28.81999969482422,29.100000381469727,28.530000686645508,28.530000686645508,5610
2016-03-31,20.32908058166504,28.8799991607666,29.190000534057617,28.75,28.75,3333
2016-04-01,19.956005096435547,28.350000381469727,28.8799991607666,28.200000762939453,28.8799991607666,970
2016-04-04,20.378353118896484,28.950000762939453,29.700000762939453,28.5,28.5,14241
2016-04-05,20.448747634887695,29.049999237060547,29.450000762939453,28.920000076293945,29.329999923706055,2023
2016-04-06,20.96964454650879,29.790000915527344,30.0,29.100000381469727,29.100000381469727,2111
2016-04-07,20.483943939208984,29.100000381469727,30.1200008392334,29.100000381469727,29.81999969482422,2736
2016-04-08,20.413551330566406,29.0,29.440000534057617,29.0,29.389999389648438,7454
2016-04-11,20.652881622314453,29.34000015258789,29.700000762939453,29.1299991607666,29.1299991607666,2368
2016-04-12,20.54025650024414,29.18000030517578,29.3700008392334,29.100000381469727,29.34000015258789,1731
2016-04-13,20.624727249145508,29.299999237060547,29.450000762939453,29.299999237060547,29.450000762939453,347
2016-04-14,20.413551330566406,29.0,29.540000915527344,29.0,29.5,62695
2016-04-15,20.716236114501953,29.43000030517578,29.600000381469727,29.239999771118164,29.600000381469727,3133
2016-04-18,21.1245059967041,30.010000228881836,30.010000228881836,29.399999618530273,29.5,3377
2016-04-19,21.258251190185547,30.200000762939453,30.25,30.0,30.0,1105
2016-04-20,20.920364379882812,29.719999313354492,30.1299991607666,29.719999313354492,30.09000015258789,1118
2016-04-21,21.11746597290039,30.0,30.209999084472656,29.6200008392334,30.0,4332
2016-04-22,21.36383628845215,30.350000381469727,30.450000762939453,30.049999237060547,30.3799991607666,14490
2016-04-25,21.18082046508789,30.09000015258789,30.25,29.979999542236328,30.1200008392334,11880
2016-04-26,20.79366683959961,29.540000915527344,30.010000228881836,29.540000915527344,29.959999084472656,2942
2016-04-27,21.539817810058594,30.600000381469727,30.700000762939453,29.540000915527344,29.6299991607666,9764
2016-04-28,21.462383270263672,30.489999771118164,30.549999237060547,29.530000686645508,30.549999237060547,38782
2016-04-29,21.110422134399414,29.989999771118164,30.520000457763672,29.90999984741211,30.239999771118164,29210
2016-05-02,21.391992568969727,30.389999389648438,30.489999771118164,29.969999313354492,29.969999313354492,7974
2016-05-03,21.35679817199707,30.34000015258789,30.520000457763672,30.079999923706055,30.510000228881836,6374
2016-05-04,21.152660369873047,30.049999237060547,30.520000457763672,29.989999771118164,30.520000457763672,3066
2016-05-06,20.76551055908203,29.5,30.350000381469727,29.5,30.350000381469727,1291
2016-05-09,21.09634780883789,29.969999313354492,30.290000915527344,29.40999984741211,29.5,5393
2016-05-10,21.328638076782227,30.299999237060547,30.559999465942383,30.190000534057617,30.219999313354492,8767
2016-05-11,21.35679817199707,30.34000015258789,30.5,30.139999389648438,30.5,7547
2016-05-12,21.391992568969727,30.389999389648438,30.600000381469727,30.020000457763672,30.5,8683
2016-05-13,21.539817810058594,30.600000381469727,30.639999389648438,29.93000030517578,30.299999237060547,12229
2016-05-16,21.272327423095703,30.219999313354492,30.6299991607666,30.09000015258789,30.6299991607666,9643
2016-05-17,21.518699645996094,30.56999969482422,30.719999313354492,30.260000228881836,30.510000228881836,14122
2016-05-18,21.821382522583008,31.0,31.020000457763672,30.600000381469727,30.600000381469727,5114
2016-05-19,21.856578826904297,31.049999237060547,31.25,30.770000457763672,30.969999313354492,9617
2016-05-20,22.28596305847168,31.65999984741211,31.950000762939453,31.0,31.0,21308
2016-05-23,22.476022720336914,31.93000030517578,31.940000534057617,31.799999237060547,31.829999923706055,6197
2016-05-24,22.827980041503906,32.43000030517578,32.59000015258789,31.760000228881836,31.850000381469727,5849
2016-05-25,22.799823760986328,32.38999938964844,32.939998626708984,32.150001525878906,32.459999084472656,17543
2016-05-26,23.102508544921875,32.81999969482422,32.81999969482422,32.400001525878906,32.400001525878906,14132
2016-05-27,22.92652702331543,32.56999969482422,32.70000076293945,32.29999923706055,32.689998626708984,3934
2016-05-30,22.947647094726562,32.599998474121094,32.66999816894531,32.400001525878906,32.5,5833
2016-05-31,22.76462745666504,32.34000015258789,32.5,32.06999969482422,32.38999938964844,5459
2016-06-01,22.588651657104492,32.09000015258789,32.33000183105469,31.940000534057617,32.0,11357
2016-06-02,22.91244888305664,32.54999923706055,32.54999923706055,31.899999618530273,32.09000015258789,5096
2016-06-03,23.222177505493164,32.9900016784668,33.13999938964844,32.16999816894531,32.16999816894531,3582
2016-06-06,23.616369247436523,33.54999923706055,33.54999923706055,32.75,32.7599983215332,15032
2016-06-07,23.97536277770996,34.060001373291016,34.099998474121094,33.4900016784668,33.5,7180
2016-06-08,23.954246520996094,34.029998779296875,34.099998474121094,33.599998474121094,33.599998474121094,4261
2016-06-09,23.86977767944336,33.90999984741211,33.97999954223633,33.52000045776367,33.97999954223633,8800
2016-06-10,23.4755859375,33.349998474121094,33.90999984741211,33.25,33.90999984741211,5770
2016-06-13,22.982845306396484,32.650001525878906,33.08000183105469,32.439998626708984,33.08000183105469,2863
2016-06-14,22.842058181762695,32.45000076293945,32.56999969482422,32.31999969482422,32.56999969482422,3498
2016-06-15,24.55961036682129,34.88999938964844,35.619998931884766,32.0,32.0,44858
2016-06-16,23.919048309326172,33.97999954223633,34.970001220703125,33.97999954223633,34.08000183105469,14260
2016-06-17,24.066871643066406,34.189998626708984,34.459999084472656,33.81999969482422,34.0,12000
2016-06-20,23.86273765563965,33.900001525878906,34.689998626708984,33.849998474121094,33.849998474121094,5159
2016-06-21,23.88385581970215,33.93000030517578,34.75,33.93000030517578,33.93000030517578,13005
2016-06-22,24.42586898803711,34.70000076293945,34.75,34.279998779296875,34.279998779296875,12319
2016-06-23,24.601852416992188,34.95000076293945,35.099998474121094,34.029998779296875,34.029998779296875,7337
2016-06-27,23.46854591369629,33.34000015258789,34.130001068115234,33.29999923706055,33.63999938964844,14153
2016-06-28,24.087989807128906,34.220001220703125,34.27000045776367,33.66999816894531,33.66999816894531,10542
2016-06-29,24.383634567260742,34.63999938964844,34.63999938964844,34.099998474121094,34.220001220703125,6156
2016-06-30,23.792341232299805,33.79999923706055,34.95000076293945,33.79999923706055,34.650001525878906,2296
2016-07-01,24.446985244750977,34.72999954223633,35.20000076293945,34.72999954223633,34.79999923706055,16051
2016-07-04,25.073469161987305,35.619998931884766,35.619998931884766,34.810001373291016,34.810001373291016,5095
2016-07-05,24.742630004882812,35.150001525878906,35.63999938964844,34.86000061035156,35.619998931884766,8338
2016-07-06,24.960847854614258,35.459999084472656,35.459999084472656,34.81999969482422,35.150001525878906,24032
2016-07-07,25.333921432495117,35.9900016784668,35.9900016784668,35.400001525878906,35.63999938964844,7116
2016-07-08,25.50990104675293,36.2400016784668,36.400001525878906,35.5,35.5,7861
2016-07-11,26.044876098632812,37.0,37.0,36.0,36.0,11734
2016-07-12,26.009681701660156,36.95000076293945,37.060001373291016,36.849998474121094,36.95000076293945,9617
2016-07-13,25.9955997467041,36.93000030517578,36.93000030517578,36.43000030517578,36.779998779296875,2971
2016-07-14,25.66476058959961,36.459999084472656,37.0,36.459999084472656,36.93000030517578,3434
2016-07-15,25.770353317260742,36.61000061035156,36.61000061035156,36.20000076293945,36.5,5406
2016-07-18,25.826658248901367,36.689998626708984,36.709999084472656,36.5,36.59000015258789,4181
2016-07-19,26.185657501220703,37.20000076293945,37.70000076293945,36.45000076293945,36.689998626708984,9697
2016-07-20,26.108224868774414,37.09000015258789,37.099998474121094,35.43000030517578,36.029998779296875,1673
2016-07-21,26.03079605102539,36.97999954223633,37.040000915527344,36.52000045776367,37.0099983215332,1544
2016-07-22,25.847780227661133,36.720001220703125,37.0,36.52000045776367,37.0,2069
2016-07-25,25.819622039794922,36.68000030517578,36.9900016784668,36.54999923706055,36.599998474121094,7517
2016-07-26,26.143423080444336,37.13999938964844,37.150001525878906,36.66999816894531,36.66999816894531,17669
2016-07-27,26.03079605102539,36.97999954223633,37.0099983215332,36.79999923706055,36.79999923706055,20963
2016-07-28,25.59436798095703,36.36000061035156,36.79999923706055,36.36000061035156,36.79999923706055,749
2016-07-29,25.516939163208008,36.25,36.58000183105469,36.08000183105469,36.36000061035156,7261
2016-08-01,25.622528076171875,36.400001525878906,36.709999084472656,36.400001525878906,36.5,2176
2016-08-02,25.65772247314453,36.45000076293945,36.45000076293945,36.040000915527344,36.400001525878906,3941
2016-08-03,25.36911392211914,36.040000915527344,36.45000076293945,35.810001373291016,36.45000076293945,7254
2016-08-04,25.390233993530273,36.06999969482422,36.06999969482422,35.61000061035156,35.900001525878906,8633
2016-08-05,25.22833251953125,35.84000015258789,36.06999969482422,35.779998779296875,36.06999969482422,9598
2016-08-08,25.21425437927246,35.81999969482422,35.880001068115234,35.72999954223633,35.84000015258789,2950
2016-08-09,25.25649070739746,35.880001068115234,36.02000045776367,35.75,35.75,5759
2016-08-10,25.01715850830078,35.540000915527344,35.900001525878906,35.540000915527344,35.81999969482422,1796
2016-08-11,25.34095573425293,36.0,36.0,35.5,35.5,9313
2016-08-12,24.996044158935547,35.5099983215332,35.790000915527344,35.5099983215332,35.790000915527344,2532
2016-08-15,24.946765899658203,35.439998626708984,35.77000045776367,35.439998626708984,35.45000076293945,3572
2016-08-16,25.48174476623535,36.20000076293945,36.20000076293945,35.61000061035156,35.65999984741211,4867
2016-08-17,24.615930557250977,34.970001220703125,35.68000030517578,34.970001220703125,35.20000076293945,16185
2016-08-18,24.70039939880371,35.09000015258789,35.209999084472656,34.900001525878906,34.9900016784668,10538
2016-08-19,24.615930557250977,34.970001220703125,35.09000015258789,34.79999923706055,35.09000015258789,10551
2016-08-22,24.777828216552734,35.20000076293945,35.33000183105469,34.93000030517578,34.970001220703125,3157
2016-08-23,24.7567081451416,35.16999816894531,35.4900016784668,35.15999984741211,35.16999816894531,2289
2016-08-24,24.84821891784668,35.29999923706055,35.369998931884766,35.20000076293945,35.20000076293945,1273
2016-08-25,24.383634567260742,34.63999938964844,35.0,34.43000030517578,35.0,1349
